Watching for file changes with StatReloader
INFO 2021-08-31 22:49:12,314 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:49:12,317 basehttp 151664 140330634335808 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:49:12,365 basehttp 151664 140330634335808 "GET /static/store/img/SK-A-4050.jpg HTTP/1.1" 304 0
INFO 2021-08-31 22:49:13,142 basehttp 151664 140330660562496 "GET /cart/ HTTP/1.1" 200 5544
INFO 2021-08-31 22:49:14,412 basehttp 151664 140330660562496 "POST /update_item/ HTTP/1.1" 200 16
INFO 2021-08-31 22:49:14,448 basehttp 151664 140330660562496 "GET /cart/ HTTP/1.1" 200 5544
INFO 2021-08-31 22:49:14,467 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:49:14,476 basehttp 151664 140330660562496 "GET /static/store/img/SK-A-4050.jpg HTTP/1.1" 304 0
INFO 2021-08-31 22:49:15,143 basehttp 151664 140330660562496 "POST /update_item/ HTTP/1.1" 200 16
INFO 2021-08-31 22:49:15,176 basehttp 151664 140330660562496 "GET /cart/ HTTP/1.1" 200 5544
INFO 2021-08-31 22:49:15,267 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:49:15,271 basehttp 151664 140330660562496 "GET /static/store/img/SK-A-4050.jpg HTTP/1.1" 304 0
INFO 2021-08-31 22:49:17,207 basehttp 151664 140330660562496 "POST /update_item/ HTTP/1.1" 200 16
INFO 2021-08-31 22:49:17,251 basehttp 151664 140330660562496 "GET /cart/ HTTP/1.1" 200 5544
INFO 2021-08-31 22:49:17,271 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:49:17,279 basehttp 151664 140330660562496 "GET /static/store/img/SK-A-4050.jpg HTTP/1.1" 304 0
INFO 2021-08-31 22:49:17,410 basehttp 151664 140330660562496 "POST /update_item/ HTTP/1.1" 200 16
INFO 2021-08-31 22:49:17,430 basehttp 151664 140330660562496 "GET /cart/ HTTP/1.1" 200 5544
INFO 2021-08-31 22:49:17,518 basehttp 151664 140330660562496 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 22:49:17,526 basehttp 151664 140330660562496 "GET /static/store/img/SK-A-4050.jpg HTTP/1.1" 304 0
INFO 2021-08-31 22:49:18,781 basehttp 151664 140330634335808 "GET /cart/ HTTP/1.1" 200 5544
